section,coverage,accuracy,fluency,coherence,redundancy,avg_kpi,avg_len
연구개발 목표,0.11764705882352941,0.10588235294117647,0.5274535095689264,0.44387124984555565,0.003090706253493784,0.0,113.05882352941177
연구개발 내용,0.0,0.0,0.5,0.5,0.0,0.0,0.0
연구개발성과 활용계획 및 기대효과,0.058823529411764705,0.0,0.5189491878432715,0.4717132604675857,0.0,0.058823529411764705,34.05882352941177
연구기획과제의 개요,0.058823529411764705,0.058823529411764705,0.5144494228985241,0.4712865955345902,0.0020925366111199436,0.058823529411764705,71.82352941176471
연구개발과제의 배경,0.11764705882352941,0.10588235294117647,0.530801055394081,0.44457220438579553,0.008578832750941926,0.11764705882352941,172.94117647058823
연구개발과제의 필요성,0.0,0.0,0.5,0.5,0.0,0.0,0.0
보안등급의 분류 및 해당 사유,0.058823529411764705,0.058823529411764705,0.522651406084947,0.47174826452320057,0.0,0.0,22.88235294117647
기술개발 핵심어(키워드),0.058823529411764705,0.047058823529411764,0.49775027819602946,0.47058823529411764,0.0,0.0,7.882352941176471
연차별 개발목표,0.058823529411764705,0.0,0.5293060976182268,0.47058823529411764,0.01987690441550728,0.058823529411764705,148.0
연차별 개발내용 및 범위,0.058823529411764705,0.058823529411764705,0.5233320779253191,0.47361247037959253,0.004740357664170205,0.0,80.29411764705883
추진방법 및 전략,0.058823529411764705,0.058823529411764705,0.5291271972742784,0.4728112629301918,0.0012948575615958973,0.0,86.23529411764706
과제 성과의 활용방안,0.058823529411764705,0.058823529411764705,0.5095445333127722,0.472853798548404,0.00512333964191712,0.0,84.05882352941177
신규사업 신설의 기대효과,0.058823529411764705,0.047058823529411764,0.5153240822787438,0.47428296926223096,0.005006257800974623,0.0,61.529411764705884
사회적 가치 창출 계획,0.058823529411764705,0.058823529411764705,0.5222298133456947,0.4743052161171352,0.002331420365919271,0.058823529411764705,84.47058823529412
사회적 가치창출의 기대효과,0.058823529411764705,0.047058823529411764,0.514095504697465,0.4715144820109985,0.0006213753084997141,0.0,73.88235294117646
경제적 성과창출의 기대효과,0.058823529411764705,0.0,0.5281729142749713,0.47605370385214674,0.00561497323650948,0.058823529411764705,65.11764705882354
신규 인력 채용 계획 및 활용 방안,0.058823529411764705,0.047058823529411764,0.5293651068763013,0.478144425355498,0.004537352118435426,0.0,91.52941176470588
