section,coverage,accuracy,fluency,coherence,redundancy,avg_kpi,avg_len
연구개발 목표,0.11764705882352941,0.09411764705882353,0.5199565275274167,0.4443275104121905,0.004689303158445604,0.058823529411764705,99.3529411764706
연구개발 내용,0.0,0.0,0.5,0.5,0.0,0.0,0.0
연구개발성과 활용계획 및 기대효과,0.058823529411764705,0.058823529411764705,0.5102342915723367,0.4730095650856896,0.0006879944920206721,0.058823529411764705,47.470588235294116
연구기획과제의 개요,0.058823529411764705,0.047058823529411764,0.5123281164510823,0.47154195649551683,0.002965892214325177,0.0,34.23529411764706
연구개발과제의 배경,0.11764705882352941,0.08235294117647059,0.5259744443638233,0.4452255834201878,0.008279398282379358,0.0,118.17647058823529
연구개발과제의 필요성,0.0,0.0,0.5,0.5,0.0,0.0,0.0
보안등급의 분류 및 해당 사유,0.058823529411764705,0.058823529411764705,0.5223606124326858,0.47610294117647056,0.0,0.0,8.882352941176471
기술개발 핵심어(키워드),0.058823529411764705,0.047058823529411764,0.49775027819602946,0.47058823529411764,0.0,0.0,7.882352941176471
연차별 개발목표,0.058823529411764705,0.0,0.5294018549103381,0.5,0.046242012990836294,0.058823529411764705,217.88235294117646
연차별 개발내용 및 범위,0.058823529411764705,0.047058823529411764,0.5291979105250014,0.4745347858244422,0.0021520803355845612,0.0,68.94117647058823
추진방법 및 전략,0.058823529411764705,0.047058823529411764,0.5071823999164613,0.4717782608836308,0.0002828054285046119,0.0,69.52941176470588
과제 성과의 활용방안,0.058823529411764705,0.058823529411764705,0.5108507690786124,0.4729441703262875,0.0015756302450667767,0.058823529411764705,59.411764705882355
신규사업 신설의 기대효과,0.058823529411764705,0.058823529411764705,0.5079686276474573,0.4717268186887352,0.003460207589841012,0.058823529411764705,40.0
사회적 가치 창출 계획,0.058823529411764705,0.058823529411764705,0.5218380637361184,0.4721085741770422,0.00229779411166322,0.058823529411764705,95.76470588235294
사회적 가치창출의 기대효과,0.058823529411764705,0.058823529411764705,0.511080966804998,0.47219952896536493,0.0008779631222727451,0.11764705882352941,73.29411764705883
경제적 성과창출의 기대효과,0.058823529411764705,0.0,0.5033652500266284,0.47090862488786367,0.0004490345722345812,0.058823529411764705,41.35294117647059
신규 인력 채용 계획 및 활용 방안,0.058823529411764705,0.047058823529411764,0.5291527583113202,0.4759220268202531,0.0026848913727988396,0.0,61.76470588235294
